"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","450","Consulta Lista de Bandas pela Letra ""d""","","Mon Sep 01 16:54:56 BRT 2025","passed","Mon Sep 01 16:54:57 BRT 2025","","Temple Of Rock","",""
"","426","Consulta de Banda pelo Nome: Best Of Name","","Mon Sep 01 16:54:58 BRT 2025","passed","Mon Sep 01 16:54:58 BRT 2025","","Temple Of Rock","",""
"","18066","Faz a Edição dos dados de uma Banda já Cadastrada e Inclui novos Discos","","Mon Sep 01 16:55:16 BRT 2025","passed","Mon Sep 01 16:55:34 BRT 2025","","Temple Of Rock","",""
"","524","Consulta Lista de Bandas pela Letra ""b""","","Mon Sep 01 16:54:55 BRT 2025","passed","Mon Sep 01 16:54:56 BRT 2025","","Temple Of Rock","",""
"","7791","Faz o Cadastro de uma Nova Banda","","Mon Sep 01 16:55:08 BRT 2025","passed","Mon Sep 01 16:55:16 BRT 2025","","Temple Of Rock","",""
"","1226","Faz Cadastro de Novo Usuário com sucesso","","Mon Sep 01 16:55:05 BRT 2025","passed","Mon Sep 01 16:55:06 BRT 2025","","Temple Of Rock","",""
"","19163","Desiste de fazer a Edição dos dados de uma Banda já Cadastrada","","Mon Sep 01 16:55:41 BRT 2025","passed","Mon Sep 01 16:56:00 BRT 2025","","Temple Of Rock","",""
"","440","Consulta Lista de Bandas pela Letra ""i""","","Mon Sep 01 16:54:57 BRT 2025","passed","Mon Sep 01 16:54:57 BRT 2025","","Temple Of Rock","",""
"","425","Consulta de Banda pelo Nome: Deep Spring","","Mon Sep 01 16:54:58 BRT 2025","passed","Mon Sep 01 16:54:59 BRT 2025","","Temple Of Rock","",""
"","504","Consulta de Banda pelo Nome: Ultimate Onto","","Mon Sep 01 16:54:57 BRT 2025","passed","Mon Sep 01 16:54:58 BRT 2025","","Temple Of Rock","",""
"","166","Verifica o título da página Temple of Rock","","Mon Sep 01 16:54:55 BRT 2025","passed","Mon Sep 01 16:54:55 BRT 2025","","Temple Of Rock","",""
"","7017","Inclui Discos para uma Banda","","Mon Sep 01 16:55:34 BRT 2025","passed","Mon Sep 01 16:55:41 BRT 2025","","Temple Of Rock","",""
"","660","Faz Login de Usuário com falha","","Mon Sep 01 16:55:04 BRT 2025","passed","Mon Sep 01 16:55:05 BRT 2025","","Temple Of Rock","",""
"","459","Consulta Lista de Bandas pela Letra ""u""","","Mon Sep 01 16:54:56 BRT 2025","passed","Mon Sep 01 16:54:56 BRT 2025","","Temple Of Rock","",""
"","5717","Faz Login de Usuário com sucesso","","Mon Sep 01 16:54:59 BRT 2025","passed","Mon Sep 01 16:55:04 BRT 2025","","Temple Of Rock","",""
"","1323","Faz Cadastro de Novo Usuário com E-mail Invalido","","Mon Sep 01 16:55:06 BRT 2025","passed","Mon Sep 01 16:55:08 BRT 2025","","Temple Of Rock","",""
